Breakout,Age,Pos_Group,Bats,Throws,Height,Weight,Country,Class_Type,Prospect_Grouping,Prev_Season_WAR,Season_High_WAR,MLB_Certainty,MLB_BB,MLB_K,MLB_AVG,MLB_ISO,MLB_Spd,MLB_wRC,MiLB_Certainty,MiLB_BB,MiLB_K,MiLB_AVG,MiLB_ISO,MiLB_Spd,MiLB_wRC
0,31,Catcher,R,R,72,205,JAP,International Professional,Top 100 Prospect,2.8,2.8,500-999 MLB PA,0.037,0.085,0.291,0.16,2.8,105,Fewer than 500 MiLB PA,,,,,,
0,24,Corner Outfielder,L,R,73,220,USA,Big D1 College,Top 10 Prospect,2.2,2.2,500-999 MLB PA,0.068,0.228,0.247,0.164,5.2,87,500-999 MiLB PA,0.125,0.196,0.325,0.263,5.8,167
0,32,Catcher,R,R,72,205,JAP,International Professional,Top 100 Prospect,2.5,2.8,1000-1499 MLB PA,0.033,0.082,0.289,0.153,2.2,103,Fewer than 500 MiLB PA,,,,,,
0,29,Infielder,L,R,69,200,JAP,International Professional,Unranked Prospect,3.1,3.1,500-999 MLB PA,0.104,0.204,0.285,0.126,6.4,107,Fewer than 500 MiLB PA,,,,,,
0,32,Corner Outfielder,L,R,72,200,JAP,International Professional,Top 50 Prospect,1.4,1.4,500-999 MLB PA,0.137,0.176,0.257,0.122,4.9,91,Fewer than 500 MiLB PA,,,,,,
0,27,Middle Infielder,R,R,74,180,CUB,International Professional,Unranked Prospect,1,1,500-999 MLB PA,0.035,0.12,0.29,0.185,4.5,102,Fewer than 500 MiLB PA,,,,,,
0,25,Corner Outfielder,L,R,73,220,USA,Big D1 College,Top 10 Prospect,2.6,2.6,1000-1499 MLB PA,0.091,0.219,0.253,0.168,4.8,96,500-999 MiLB PA,0.125,0.196,0.325,0.263,5.8,167
1,21,Corner Outfielder,R,R,73,215,USA,High School,Top 10 Prospect,0.6,0.6,500-999 MLB PA,0.114,0.278,0.242,0.194,4.8,92,1000-1499 MiLB PA,0.112,0.196,0.288,0.191,5.9,134
0,33,Catcher,R,R,72,205,JAP,International Professional,Top 100 Prospect,-1.6,2.8,1000-1499 MLB PA,0.037,0.082,0.272,0.14,2.1,92,Fewer than 500 MiLB PA,,,,,,
0,30,Infielder,L,R,69,200,JAP,International Professional,Unranked Prospect,3,3.1,1000-1499 MLB PA,0.101,0.194,0.279,0.114,5.8,102,Fewer than 500 MiLB PA,,,,,,
0,23,Corner Infielder,L,R,76,255,USA,Junior College,Top 100 Prospect,0.8,0.8,Fewer than 500 MLB PA,0.063,0.278,0.285,0.264,4.1,126,1000-1499 MiLB PA,0.073,0.25,0.302,0.293,4.4,145
0,23,Corner Infielder,R,R,73,213,USA,D1 College,Top 10 Prospect,5.6,5.6,500-999 MLB PA,0.091,0.24,0.272,0.259,4.7,129,500-999 MiLB PA,0.109,0.18,0.301,0.234,3.6,150
0,22,Corner Outfielder,L,L,72,230,USA,High School,Top 10 Prospect,-0.1,0.4,Fewer than 500 MLB PA,0.096,0.284,0.255,0.175,2.9,99,1500-1999 MiLB PA,0.112,0.25,0.304,0.229,3.9,149
0,25,Middle Infielder,B,R,72,190,USA,D1 College,Unranked Prospect,-0.5,0.8,Fewer than 500 MLB PA,0.075,0.117,0.262,0.038,5.2,70,500-999 MiLB PA,0.072,0.101,0.284,0.055,7.8,91
0,33,Corner Outfielder,L,R,72,200,JAP,International Professional,Top 50 Prospect,2.4,2.4,1000-1499 MLB PA,0.146,0.181,0.258,0.142,4.4,100,Fewer than 500 MiLB PA,,,,,,
1,24,Catcher,B,R,77,235,USA,Big D1 College,Top 10 Prospect,1.1,1.1,Fewer than 500 MLB PA,0.073,0.223,0.288,0.124,1.4,95,500-999 MiLB PA,0.147,0.153,0.343,0.234,3.3,173
1,28,Middle Infielder,R,R,74,180,CUB,International Professional,Unranked Prospect,2.1,2.1,1000-1499 MLB PA,0.06,0.114,0.283,0.147,4.2,93,Fewer than 500 MiLB PA,,,,,,
0,26,Corner Outfielder,L,R,73,220,USA,Big D1 College,Top 10 Prospect,0.4,2.6,1000-1499 MLB PA,0.094,0.22,0.25,0.165,4.8,95,500-999 MiLB PA,0.134,0.193,0.325,0.258,5.7,167
0,22,Corner Outfielder,R,R,73,215,USA,High School,Top 10 Prospect,4.9,4.9,1000-1499 MLB PA,0.104,0.255,0.272,0.213,6.2,111,1000-1499 MiLB PA,0.112,0.197,0.288,0.193,5.9,134
0,25,Utility,L,R,72,195,USA,Big D1 College,Unranked Prospect,2.7,2.7,500-999 MLB PA,0.094,0.136,0.321,0.139,5.2,127,1000-1499 MiLB PA,0.118,0.113,0.298,0.153,7,131
